employeeid,age,gender,department,jobrole,monthlyincome,yearsatcompany,distancefromhome,overtime,martialstatus,educationfield,jobsatisfaction,environmentstatiafaction,attrition
1,19,Male,Operations,Operations Analyst,4084,1,9,No,Divorced,Other,2,2,Yes
2,19,Male,Finance,Financial Analyst,6077,1,33,Yes,Divorced,Medical,2,2,No
3,44,Male,Operations,Coordinator,4969,5,1,Yes,Divorced,Technical Degree,4,3,No
4,39,Female,Research & Development,Research Scientist,7920,12,7,Yes,Married,Other,1,4,Yes
5,47,Female,Sales,Account Manager,5651,4,36,Yes,Divorced,Other,4,1,No
6,30,Male,Human Resources,HR Manager,4441,4,19,Yes,Single,Life Sciences,1,2,No
7,41,Female,Finance,Finance Manager,3204,6,14,Yes,Divorced,Life Sciences,3,3,No
8,33,Male,Research & Development,Data Analyst,3325,0,18,Yes,Divorced,Marketing,4,4,No
9,20,Male,Sales,Sales Executive,4627,1,5,No,Divorced,Marketing,4,3,No
10,59,Male,Finance,Accountant,2805,2,9,No,Divorced,Other,2,3,No
11,45,Female,Operations,Coordinator,6479,11,9,No,Single,Life Sciences,3,2,No
12,28,Female,Research & Development,Data Analyst,3790,6,25,No,Divorced,Marketing,1,4,No
13,25,Female,Sales,Account Manager,4883,3,19,No,Single,Technical Degree,3,1,Yes
14,34,Male,Operations,Coordinator,4700,1,33,Yes,Single,Marketing,1,3,No
15,18,Female,IT,BI Analyst,3649,0,8,No,Married,Medical,4,1,Yes
16,23,Female,IT,Software Engineer,6972,3,9,No,Divorced,Medical,1,2,No
17,31,Female,IT,System Administrator,3980,5,24,Yes,Divorced,Technical Degree,3,4,Yes
18,39,Male,Research & Development,Research Scientist,4784,9,1,Yes,Divorced,Life Sciences,2,2,Yes
19,22,Male,Sales,Sales Representative,2648,4,14,Yes,Divorced,Other,3,4,No
20,44,Female,Research & Development,Laboratory Technician,4236,0,28,Yes,Married,Technical Degree,1,1,No
21,59,Male,Operations,Operations Analyst,6205,8,22,Yes,Single,Medical,1,4,Yes
22,45,Male,Finance,Financial Analyst,4888,5,16,Yes,Married,Other,3,4,Yes
23,18,Female,Operations,Coordinator,3136,0,27,Yes,Married,Medical,2,2,No
24,42,Female,Sales,Sales Executive,6268,4,30,Yes,Married,Other,4,3,No
25,30,Male,Finance,Financial Analyst,3634,7,38,No,Divorced,Marketing,2,1,Yes
26,50,Male,IT,System Administrator,5287,7,12,Yes,Divorced,Life Sciences,1,1,No
27,25,Female,Research & Development,Laboratory Technician,5484,3,27,Yes,Married,Medical,1,1,No
28,34,Female,Human Resources,HR Executive,7617,10,30,No,Single,Life Sciences,2,3,No
29,22,Male,IT,Software Engineer,4128,2,23,Yes,Single,Marketing,3,2,No
30,37,Female,Finance,Finance Manager,6920,7,9,Yes,Single,Life Sciences,3,1,No
31,36,Female,Research & Development,Laboratory Technician,4777,4,17,Yes,Married,Life Sciences,3,2,Yes
32,20,Male,Finance,Accountant,2814,1,17,Yes,Divorced,Technical Degree,3,2,No
33,18,Male,Finance,Finance Manager,5627,0,35,Yes,Married,Other,1,2,No
34,20,Male,Finance,Financial Analyst,5704,2,23,No,Divorced,Medical,3,1,No
35,44,Female,Human Resources,HR Manager,4975,7,12,Yes,Single,Medical,2,2,No
36,60,Female,Human Resources,Recruiter,7595,7,7,Yes,Single,Technical Degree,3,2,No
37,37,Female,Finance,Accountant,7127,5,13,Yes,Married,Marketing,2,1,No
38,59,Female,Human Resources,Recruiter,4986,0,8,No,Single,Other,3,1,No
39,24,Male,Human Resources,HR Executive,5141,6,28,No,Married,Other,3,3,No
40,45,Male,Sales,Account Manager,3114,6,28,Yes,Divorced,Marketing,2,3,No
41,37,Female,Operations,Operations Analyst,5678,5,26,No,Divorced,Medical,4,3,No
42,29,Female,Operations,Operations Manager,6128,11,20,No,Single,Technical Degree,4,1,No
43,38,Female,IT,BI Analyst,3897,2,14,No,Divorced,Medical,4,4,No
44,60,Male,Human Resources,HR Manager,6644,9,20,No,Single,Medical,1,2,Yes
45,57,Male,Research & Development,Laboratory Technician,5365,3,37,Yes,Divorced,Technical Degree,4,4,No
46,59,Male,Research & Development,Research Scientist,6662,6,15,Yes,Divorced,Other,1,4,No
47,25,Female,IT,Software Engineer,4356,3,34,No,Married,Other,2,4,No
48,53,Female,IT,System Administrator,3243,4,29,No,Single,Marketing,2,4,No
49,58,Female,IT,System Administrator,6063,7,5,Yes,Single,Marketing,3,4,No
50,26,Male,IT,Software Engineer,5218,6,10,Yes,Single,Technical Degree,2,4,No
51,44,Male,IT,System Administrator,3495,0,25,Yes,Divorced,Technical Degree,2,4,No
52,42,Female,Human Resources,Recruiter,4037,4,15,No,Married,Technical Degree,2,4,Yes
53,43,Male,Human Resources,HR Manager,5734,5,40,Yes,Married,Other,4,2,No
54,59,Male,Sales,Sales Executive,7459,13,12,No,Married,Technical Degree,2,4,No
55,39,Male,Finance,Accountant,5660,7,17,No,Married,Life Sciences,3,4,No
56,32,Male,Sales,Sales Representative,3968,0,16,Yes,Single,Other,1,1,Yes
57,60,Female,Research & Development,Laboratory Technician,8455,6,17,Yes,Single,Other,2,4,No
58,25,Male,Operations,Coordinator,5611,5,38,Yes,Married,Other,3,1,No
59,30,Male,Finance,Accountant,3847,5,20,Yes,Divorced,Life Sciences,2,1,No
60,41,Female,Finance,Finance Manager,7402,10,27,Yes,Single,Technical Degree,3,1,No
61,27,Female,Operations,Operations Manager,5158,9,40,No,Married,Technical Degree,2,3,No
62,38,Male,IT,System Administrator,5067,11,29,Yes,Married,Other,1,3,No
63,19,Male,Finance,Accountant,6878,1,32,No,Married,Marketing,3,2,No
64,35,Female,IT,BI Analyst,3820,2,16,Yes,Married,Other,2,1,No
65,59,Female,Operations,Operations Manager,4895,6,6,No,Single,Technical Degree,4,1,No
66,55,Female,Human Resources,HR Manager,4082,0,28,No,Married,Technical Degree,4,3,No
67,25,Male,Human Resources,HR Executive,4818,1,35,Yes,Single,Medical,3,1,No
68,55,Male,Human Resources,HR Manager,6359,2,19,No,Married,Medical,1,2,No
69,26,Female,Operations,Coordinator,4113,2,36,No,Divorced,Medical,1,1,No
70,18,Female,Finance,Financial Analyst,2522,0,29,No,Single,Life Sciences,4,4,No
71,22,Male,Finance,Financial Analyst,6568,4,37,No,Single,Medical,4,1,No
72,33,Female,Human Resources,HR Executive,4221,0,34,Yes,Married,Technical Degree,4,2,No
73,37,Female,IT,System Administrator,6688,7,14,Yes,Divorced,Life Sciences,1,2,Yes
74,22,Female,Research & Development,Data Analyst,2665,1,29,Yes,Married,Life Sciences,1,4,Yes
75,47,Male,Operations,Operations Manager,6356,8,38,Yes,Married,Life Sciences,2,3,No
76,35,Female,Operations,Operations Analyst,6165,7,11,Yes,Divorced,Other,1,1,No
77,47,Female,Finance,Financial Analyst,5028,3,33,No,Married,Life Sciences,4,3,No
78,38,Male,Finance,Finance Manager,4892,7,15,No,Divorced,Marketing,1,1,No
79,51,Female,Research & Development,Laboratory Technician,7818,13,38,No,Divorced,Technical Degree,3,2,No
80,44,Female,Finance,Accountant,5037,1,11,No,Married,Technical Degree,3,1,No
81,20,Female,Finance,Finance Manager,5444,2,17,No,Single,Technical Degree,1,3,No
82,52,Female,Sales,Account Manager,5515,10,13,No,Divorced,Technical Degree,4,1,No
83,35,Male,Sales,Sales Executive,6745,9,32,Yes,Single,Other,3,4,No
84,37,Male,Operations,Operations Analyst,8526,9,15,Yes,Married,Life Sciences,4,1,No
85,36,Male,Research & Development,Laboratory Technician,4345,5,31,No,Married,Other,4,4,No
86,50,Female,Research & Development,Data Analyst,3521,2,27,Yes,Divorced,Marketing,1,3,No
87,37,Female,Human Resources,HR Manager,5659,5,35,No,Married,Marketing,2,4,No
88,47,Female,IT,System Administrator,6742,7,37,No,Single,Technical Degree,2,2,Yes
89,42,Male,Operations,Operations Manager,7244,6,3,No,Divorced,Other,2,4,No
90,24,Male,Sales,Sales Representative,8264,4,27,No,Single,Technical Degree,1,2,No
91,57,Female,Human Resources,Recruiter,4971,8,35,No,Married,Technical Degree,1,3,No
92,22,Female,Sales,Account Manager,4828,1,6,Yes,Single,Life Sciences,3,2,No
93,19,Female,Operations,Operations Manager,5106,1,19,Yes,Married,Technical Degree,3,1,Yes
94,54,Female,IT,System Administrator,5662,7,6,Yes,Divorced,Medical,2,2,No
95,32,Male,IT,Software Engineer,2682,2,17,No,Married,Marketing,3,4,No
96,46,Female,Research & Development,Research Scientist,6027,4,17,No,Married,Medical,3,4,No
97,33,Male,Finance,Financial Analyst,4005,6,19,No,Divorced,Technical Degree,3,3,No
98,21,Female,IT,BI Analyst,5212,3,39,No,Single,Medical,3,2,No
99,60,Female,Operations,Coordinator,4684,2,20,Yes,Single,Other,1,1,No
100,36,Male,Research & Development,Research Scientist,4128,6,13,No,Divorced,Marketing,4,2,No
101,34,Female,Human Resources,HR Executive,6422,7,8,No,Single,Medical,3,3,No
102,43,Female,Research & Development,Data Analyst,7764,10,1,No,Divorced,Life Sciences,1,4,No
103,34,Female,Operations,Coordinator,2874,0,15,No,Single,Other,3,1,No
104,57,Female,IT,System Administrator,6616,8,20,Yes,Single,Medical,1,4,Yes
105,49,Male,Sales,Sales Representative,10623,8,35,Yes,Married,Technical Degree,1,2,No
106,52,Female,Operations,Coordinator,7362,8,7,No,Divorced,Technical Degree,2,4,No
107,41,Female,Human Resources,HR Executive,7031,9,16,Yes,Single,Marketing,4,4,No
108,21,Female,Operations,Operations Manager,5660,3,8,No,Single,Medical,3,2,No
